Posicion,Titulo,Año,Director
,El padrino,1972,Francis Ford Coppola
,El padrino. Parte II,1974,Francis Ford Coppola
,Doce hombres sin piedad,1957,Sidney Lumet
,La lista de Schindler,1993,Steven Spielberg
,Testigo de cargo,1957,Billy Wilder
,Cadena perpetua,1994,Frank Darabont
,Luces de la ciudad,1931,Charles Chaplin
,El gran dictador,1940,Charles Chaplin
,Pulp Fiction,1994,Quentin Tarantino
,Tiempos modernos,1936,Charles Chaplin
,El golpe,1973,George Roy Hill
,Ser o no ser,1942,Ernst Lubitsch
,Harakiri,1962,Masaki Kobayashi
,El crepúsculo de los dioses,1950,Billy Wilder
,La vida es bella,1997,Roberto Benigni
,Senderos de gloria,1957,Stanley Kubrick
,Eva al desnudo,1950,Joseph L. Mankiewicz
,El infierno del odio,1963,Akira Kurosawa
,Los siete samuráis,1954,Akira Kurosawa
,Perdición,1944,Billy Wilder
,El apartamento,1960,Billy Wilder
,Ciudad de Dios,2002,Fernando Meirelles
,Amanecer,1927,F.W. Murnau
,El chico,1921,Charles Chaplin
,Psicosis,1960,Alfred Hitchcock
,La evasión,1960,Jacques Becker
,La quimera del oro,1925,Charles Chaplin
,Uno de los nuestros,1990,Martin Scorsese
,Casablanca,1942,Michael Curtiz
,El hombre que mató a Liberty Valance,1962,John Ford
,Alguien voló sobre el nido del cuco,1975,Milos Forman
,Cinema Paradiso,1988,Giuseppe Tornatore
,American History X,1998,Tony Kaye
,Los olvidados,1950,Luis Buñuel
,Las uvas de la ira,1940,John Ford
,Barbarroja,1965,Akira Kurosawa
,Dersu Uzala (El cazador),1975,Akira Kurosawa
,Matar a un ruiseñor,1962,Robert Mulligan
,"M, el vampiro de Düsseldorf",1931,Fritz Lang
,Ladrón de bicicletas,1948,Vittorio De Sica
,Érase una vez en América,1984,Sergio Leone
,Con faldas y a lo loco,1959,Billy Wilder
,La condición humana III: La plegaria del soldado,1961,Masaki Kobayashi
,Una noche en la ópera,1935,Sam Wood
,Seven,1995,David Fincher
,El intendente Sansho,1954,Kenji Mizoguchi
,Vivir (Ikiru),1952,Akira Kurosawa
,El maquinista de La General,1926,Buster Keaton
,La pasión de Juana de Arco,1928,Carl Theodor Dreyer
,El pianista,2002,Roman Polanski
,Con la muerte en los talones,1959,Alfred Hitchcock
,Candilejas,1952,Charles Chaplin
,El verdugo,1963,Luis García Berlanga
,Apocalypse Now,1979,Francis Ford Coppola
,Cuentos de Tokio,1953,Yasujirō Ozu
,Metrópolis,1927,Fritz Lang
,Vértigo (De entre los muertos),1958,Alfred Hitchcock
,Sin perdón,1992,Clint Eastwood
,El silencio de los corderos,1991,Jonathan Demme
,Rebeca,1940,Alfred Hitchcock
,Apur Sansar (El mundo de Apu),1959,Satyajit Ray
,Ordet (La palabra),1955,Carl Theodor Dreyer
,El tercer hombre,1949,Carol Reed
,¡Qué bello es vivir!,1946,Frank Capra
,La ventana indiscreta,1954,Alfred Hitchcock
,Las noches de Cabiria,1957,Federico Fellini
,El precio del poder,1983,Brian De Palma
,Forrest Gump,1994,Robert Zemeckis
,Pather Panchali (La canción del camino),1955,Satyajit Ray
,Rocco y sus hermanos,1960,Luchino Visconti
,Perversidad,1945,Fritz Lang
,¿Qué fue de Baby Jane?,1962,Robert Aldrich
,La parada de los monstruos,1932,Tod Browning
,"El bueno, el feo y el malo",1966,Sergio Leone
,La naranja mecánica,1971,Stanley Kubrick
,El último,1924,F.W. Murnau
,Hasta que llegó su hora,1968,Sergio Leone
,Crimen perfecto,1954,Alfred Hitchcock
,El señor de los anillos: El retorno del rey,2003,Peter Jackson
,¿Vencedores o vencidos? (El juicio de Nuremberg),1961,Stanley Kramer
,El buscavidas,1961,Robert Rossen
,La gran evasión,1963,John Sturges
,Gran Torino,2008,Clint Eastwood
,Rebelión,1967,Masaki Kobayashi
,Los mejores años de nuestra vida,1946,William Wyler
,"Uno, dos, tres",1961,Billy Wilder
,Ciudadano Kane,1941,Orson Welles
,En el nombre del padre,1993,Jim Sheridan
,La chaqueta metálica,1987,Stanley Kubrick
,El resplandor,1980,Stanley Kubrick
,Cuentos de la luna pálida,1953,Kenji Mizoguchi
,¡Qué verde era mi valle!,1941,John Ford
,Sed de mal,1958,Orson Welles
,Capitanes intrépidos,1937,Victor Fleming
,Un condenado a muerte se ha escapado,1956,Robert Bresson
,La strada,1954,Federico Fellini
,"Roma, ciudad abierta",1945,Roberto Rossellini
,Novecento (1900),1976,Bernardo Bertolucci
,Los santos inocentes,1984,Mario Camus
,Reservoir Dogs,1992,Quentin Tarantino
,Avaricia,1924,Erich von Stroheim
,Aparajito (El invencible),1956,Satyajit Ray
,El tesoro de Sierra Madre,1948,John Huston
,El caballero oscuro,2008,Christopher Nolan
,El club de la lucha,1999,David Fincher
,Y el mundo marcha,1928,King Vidor
,Umberto D.,1952,Vittorio De Sica
,Los sobornados,1953,Fritz Lang
,Días de vino y rosas,1962,Blake Edwards
,Primera plana,1974,Billy Wilder
,La huella,1972,Joseph L. Mankiewicz
,Blade Runner,1982,Ridley Scott
,La mujer de la arena,1964,Hiroshi Teshigahara
,La heredera,1949,William Wyler
,El secreto de sus ojos,2009,Juan José Campanella
,La guerra de las galaxias. Episodio V: El imperio contraataca,1980,Irvin Kershner
,El salario del miedo,1953,H.G. Clouzot
,Al rojo vivo,1949,Raoul Walsh
,Plácido,1961,Luis García Berlanga
,El séptimo sello,1957,Ingmar Bergman
,Sopa de ganso,1933,Leo McCarey
,Cantando bajo la lluvia,1952,Stanley Donen
,El viaje de Chihiro,2001,Hayao Miyazaki
,Dies irae,1943,Carl Theodor Dreyer
,La mujer del cuadro,1944,Fritz Lang
,El gabinete del doctor Caligari,1920,Robert Wiene
,Persona,1966,Ingmar Bergman
,La noche del cazador,1955,Charles Laughton
,Taxi Driver,1976,Martin Scorsese
,El viento,1928,Victor Sjöström
,La loba,1941,William Wyler
,Trono de sangre,1957,Akira Kurosawa
,Retorno al pasado,1947,Jacques Tourneur
,Laura,1944,Otto Preminger
,Encadenados,1946,Alfred Hitchcock
,El sueño eterno,1946,Howard Hawks
,Toro salvaje,1980,Martin Scorsese
,La condición humana II: El camino a la eternidad,1959,Masaki Kobayashi
,Los niños del paraíso,1945,Marcel Carné
,Secretos de un matrimonio,1974,Ingmar Bergman
,Fausto,1926,F.W. Murnau
,La jungla de asfalto,1950,John Huston
,Fresas salvajes,1957,Ingmar Bergman
,Viridiana,1961,Luis Buñuel
,La soga,1948,Alfred Hitchcock
,El hombre elefante,1980,David Lynch
,Casino,1995,Martin Scorsese
,"Alien, el octavo pasajero",1979,Ridley Scott
,Crepúsculo en Tokio,1957,Yasujirō Ozu
,La condición humana I: No hay amor más grande,1959,Masaki Kobayashi
